idx,sentence1,label
0,کارشناس لهستانی در مورد میزبانی کشورش از نشست ضدایرانی: به کارگزار سیاست خارجی آمریکا تبدیل شده‌ایم. با این کار به روابط خود با ایران لطمه می‌زنیم,Political
1,امروز پنج شنبه ۲۰ دی ماه، کارگران نیشکر هفت تپه  با از سرگیری اعتصاب و دست کشیدن از کار اقدام به اعتراض کردند#اعتراضات_سراسری…,Political
2, چقدر راحت تو این فجازی مجردا رو میشه تشخیص داد....قران برای بد تر از ایناش قبل از طلاق چند تا راه حل ملایم تر ارائه داده.....یعنی طلاق آخرین راههالبته حالا تا شما به چه دینی باشیید,Nonpolitical
3,تو این هوای برفی فقط سیگار میچسبهکنج لب، دستا تو جیب، پیاده روی,Nonpolitical
4, گاهی فکر می‌کنم این‌که تلاشمون برای حفظِ اون چیزی که تصادفی به‌دست آوردیم، چقدر نتیجه بده، دست خودمون نیست و این خارج از کنترل بودن، خیلی ناراحت‌کننده‌ست. احتمال رسیدن به چیزایی که براشون تلاش می‌کنیم گاهی نزدیک به صفره.,Nonpolitical
5, کمتر چرت و پرت بنویس تا کمتر در موردت چرت و پرت بگن#بگوبرگردشاه,Political
6, همین گه‌خوری فقط برام مونده هانی، دیگه هیچی ندارم #جدی,Nonpolitical
7,نمونه هایی از آگاهی های صادره ازشبکه ی منفي: * آگاهیهای مربوط به کسب قدرت و برتری نسبت به دیگران * آگاهی در جهت کشف ع…,Nonpolitical
8,   اینا کمونیست واقعی رو اجرا نکردن. کمونیست واقعی رو چپول اعظم غایب میاره و دنیا رو گل و بلبل میکنه,Political
9, اره ، فردا که ژاپن رو میزنیم ب امید خدا,Nonpolitical
10, اره من تحریک می شم غیرتم تحریک میشه.😥,Nonpolitical
11,لعنت بر خودش و جد و آباد مسؤلینی که پالرمو، FATF و CFT تصویب کنند.حقیقتا دیگه نمیدونیم چحوری باید بگیم تا آقایون بفهمند این قراردادها هیچی جز ضرر واسه کشور و مردم نداره.باید فحش بذاریم دیگه#پالرمو_عليه_معيشت,Political
